,Model Name,Epochs,Batch Size,Train Loss,Test Loss,Train Acc,Test Acc,Kappa,Comments
0,CNN basic one,38,128,0.017855,0.623409,0.996677,0.84,0.839286,NaN
1,CNN2 basic one,53,128,0.015596,0.062343,0.999668,0.982667,0.985,NaN
2,VGG_Baseline basic one,63,128,0.169651,0.2402,0.996788,0.974,0.9725,NaN
3,CNN basic two,24,128,0.228279,0.786181,0.941294,0.758333,0.745714,NaN
4,CNN2 basic two,77,128,0.038791,0.089882,0.997009,0.979,0.979286,NaN
5,VGG_Baseline basic two,98,128,0.144072,0.220837,0.999778,0.976333,0.974643,NaN
6,CNN cutmix,42,128,0.164451,0.178881,0.998892,0.945667,0.951071,NaN
7,CNN2 cutmix,52,128,0.157783,0.055629,0.999335,0.992333,0.990714,NaN
8,VGG_Baseline cutmix,71,128,0.238155,0.141491,0.999889,0.994333,0.991429,NaN
9,CNN cutout,44,128,0.009736,0.181197,0.997674,0.951667,0.956429,NaN
10,CNN2 cutout,45,128,0.042143,0.069994,0.994019,0.984,0.981786,NaN
11,VGG_Baseline cutout,80,128,0.129479,0.174903,0.999225,0.986333,0.983214,NaN
12,CNN_Reg,44,128,0.881994,0.921476,0.995126,0.964667,0.964643,NaN
13,CNN2_Reg,78,128,0.307886,0.334669,0.985711,0.970333,0.967143,NaN
